"ra","time","prcp","tmin","tmax","tas","etref"
32.8318046910171,"2014-01-01",0,24.2206970214844,36.3674865722656,29.2460266113281,12.3815864722876
32.8598208671602,"2014-01-02",0,23.0223937988281,34.7428833007813,28.59072265625,12.00319994673
32.8899820883514,"2014-01-03",4.60082192148548e-05,23.7872253417969,35.1708923339844,29.2389465332031,12.0057736528936
32.9222615403028,"2014-01-04",0,24.121240234375,32.6612182617188,28.3384643554688,10.2096066228426
32.9566303204234,"2014-01-05",0,25.4319702148438,32.3883911132813,28.4135070800781,9.2391600368437
32.9930574642728,"2014-01-06",0,21.4823852539063,33.0959411621094,27.6444641113281,11.7520598215286
33.0315099741292,"2014-01-07",0,21.4750610351563,35.3559509277344,28.3249755859375,13.0557272047892
33.0719528496642,"2014-01-08",0,19.9784790039063,36.9593139648438,29.0774169921875,14.6936898996893
33.1143491207191,"2014-01-09",4.54892287962139e-05,25.6899963378906,32.3890319824219,28.5143981933594,9.12990437297887
33.1586598821719,"2014-01-10",0,23.7203918457031,32.7541748046875,28.0902038574219,10.5191250788193
33.2048443308848,"2014-01-11",0,24.0015197753906,32.5853515625,27.8835693359375,10.2218596233423
33.25285980472,"2014-01-12",0,22.870263671875,32.98720703125,27.9862609863281,11.1382426810723
33.3026618236091,"2014-01-13",0,22.0593505859375,36.0823608398438,29.1496215820313,13.4666479031994
33.3542041326596,"2014-01-14",0,21.1676879882813,35.9836975097656,28.9218078613281,13.7963334251198
33.4074387472803,"2014-01-15",0,23.0231567382813,36.6244750976563,29.7078491210938,13.4625363326465
33.4623160003036,"2014-01-16",0,24.112451171875,38.0867858886719,29.8833862304688,13.7188116018521
33.5187845910831,"2014-01-17",0,24.1426330566406,34.4995666503906,29.2206359863281,11.665952218271
33.5767916365388,"2014-01-18",0,23.3701416015625,36.3983703613281,29.7101684570313,13.2433022126328
33.6362827241216,"2014-01-19",0,20.1154113769531,40.8642211914063,29.5747009277344,16.6947110413156
33.697201966667,"2014-01-20",0,24.1431518554688,33.6134887695313,28.8134399414063,11.1177152241101
33.7594920591017,"2014-01-21",0,23.7800842285156,33.2726684570313,28.4446960449219,11.0631270180078
33.8230943369668,"2014-01-22",0,22.59267578125,34.0262390136719,28.4476867675781,12.1652765709296
33.8879488367167,"2014-01-23",5.22051268490031e-05,26.3564392089844,32.9734436035156,29.0147033691406,9.38612008465836
33.9539943577502,"2014-01-24",4.13144007325172e-05,23.8803039550781,32.9606262207031,28.4297729492188,10.8790531797654
